MIN=0	0	-10	-0,5	0	0	
MAX=40	30	10	5	27	5	
SCALE=10	10	5	1	10	1	
DEC=1	2	2	1	1	3	
DEF="Tiempo" t / s	"Tensión" U_A1 / V	"Tensión" U_B1 / V	"Intensidad" I / u.a.	"Voltaje acelerador" Vac / V	"Frecuencia" f / Hz	
0	0,33	-0,03	-0,03	0,33	NAN	
0,1	0,33	-0,025	-0,025	0,33	NAN	
0,2	0,33	-0,02	-0,02	0,33	NAN	
0,3	0,33	-0,025	-0,025	0,33	NAN	
0,4	0,33	-0,025	-0,025	0,33	NAN	
0,5	0,33	-0,025	-0,025	0,33	NAN	
0,6	0,33	-0,025	-0,025	0,33	NAN	
0,7	0,33	-0,02	-0,02	0,33	NAN	
0,8	0,33	-0,015	-0,015	0,33	NAN	
0,9	0,36	-0,02	-0,02	0,36	NAN	
1	0,525	-0,02	-0,02	0,525	NAN	
1,1	0,69	-0,015	-0,015	0,69	NAN	
1,2	0,87	-0,02	-0,02	0,87	NAN	
1,3	1,02	-0,02	-0,02	1,02	NAN	
1,4	1,185	-0,015	-0,015	1,185	NAN	
1,5	1,35	-0,015	-0,015	1,35	NAN	
1,6	1,515	-0,015	-0,015	1,515	NAN	
1,7	1,665	-0,02	-0,02	1,665	NAN	
1,8	1,815	-0,015	-0,015	1,815	NAN	
1,9	1,965	-0,01	-0,01	1,965	NAN	
2	2,13	-0,015	-0,015	2,13	NAN	
2,1	2,28	-0,015	-0,015	2,28	NAN	
2,2	2,43	-0,01	-0,01	2,43	NAN	
2,3	2,595	-0,01	-0,01	2,595	NAN	
2,4	2,745	-0,015	-0,015	2,745	NAN	
2,5	2,895	-0,01	-0,01	2,895	NAN	
2,6	3,045	-0,01	-0,01	3,045	NAN	
2,7	3,18	-0,015	-0,015	3,18	NAN	
2,8	3,33	-0,01	-0,01	3,33	NAN	
2,9	3,48	-0,01	-0,01	3,48	NAN	
3	3,63	-0,015	-0,015	3,63	NAN	
3,1	3,78	-0,01	-0,01	3,78	NAN	
3,2	3,915	-0,015	-0,015	3,915	NAN	
3,3	4,065	-0,01	-0,01	4,065	NAN	
3,4	4,2	-0,005	-0,005	4,2	NAN	
3,5	4,35	-0,005	-0,005	4,35	NAN	
3,6	4,485	-0,01	-0,01	4,485	NAN	
3,7	4,635	-0,005	-0,005	4,635	NAN	
3,8	4,77	-0,005	-0,005	4,77	NAN	
3,9	4,92	-0,005	-0,005	4,92	NAN	
4	5,055	0,005	0,005	5,055	NAN	
4,1	5,19	0,005	0,005	5,19	NAN	
4,2	5,325	0,005	0,005	5,325	NAN	
4,3	5,46	0,005	0,005	5,46	NAN	
4,4	5,595	0,01	0,01	5,595	NAN	
4,5	5,73	0,015	0,015	5,73	NAN	
4,6	5,865	0,01	0,01	5,865	NAN	
4,7	6	0,02	0,02	6	NAN	
4,8	6,135	0,02	0,02	6,135	NAN	
4,9	6,27	0,02	0,02	6,27	NAN	
5	6,39	0,015	0,015	6,39	NAN	
5,1	6,525	0,015	0,015	6,525	NAN	
5,2	6,66	0,02	0,02	6,66	NAN	
5,3	6,78	0,025	0,025	6,78	NAN	
5,4	6,915	0,01	0,01	6,915	NAN	
5,5	7,05	0,015	0,015	7,05	NAN	
5,6	7,17	0,015	0,015	7,17	NAN	
5,7	7,305	0,015	0,015	7,305	NAN	
5,8	7,425	0,01	0,01	7,425	NAN	
5,9	7,56	0,015	0,015	7,56	NAN	
6	7,68	0,01	0,01	7,68	NAN	
6,1	7,8	0,015	0,015	7,8	NAN	
6,2	7,935	0,015	0,015	7,935	NAN	
6,3	8,055	0,015	0,015	8,055	NAN	
6,4	8,175	0,015	0,015	8,175	NAN	
