MIN=0	0	-10	-0,5	0	0	
MAX=226,27417	30	10	5	27	5	
SCALE=100	10	5	1	10	1	
DEC=1	2	2	1	1	3	
DEF="Tiempo" t / s	"Tensión" U_A1 / V	"Tensión" U_B1 / V	"Intensidad" I / u.a.	"Voltaje acelerador" Vac / V	"Frecuencia" f / Hz	
0	0,3	-0,025	-0,025	0,3	NAN	
0,203	0,315	-0,015	-0,015	0,315	NAN	
0,215	0,315	-0,025	-0,025	0,315	NAN	
0,301	0,315	-0,025	-0,025	0,315	NAN	
0,4	0,315	-0,025	-0,025	0,315	NAN	
0,5	0,315	-0,02	-0,02	0,315	NAN	
0,6	0,465	-0,025	-0,025	0,465	NAN	
0,7	0,63	-0,02	-0,02	0,63	NAN	
0,8	0,78	-0,02	-0,02	0,78	NAN	
0,9	0,96	-0,02	-0,02	0,96	NAN	
1	1,11	-0,015	-0,015	1,11	NAN	
1,203	1,425	-0,01	-0,01	1,425	NAN	
1,215	1,44	-0,02	-0,02	1,44	NAN	
1,3	1,575	-0,015	-0,015	1,575	NAN	
1,4	1,725	-0,015	-0,015	1,725	NAN	
1,5	1,875	-0,025	-0,025	1,875	NAN	
1,6	2,025	-0,015	-0,015	2,025	NAN	
1,7	2,19	-0,02	-0,02	2,19	NAN	
1,8	2,34	-0,015	-0,015	2,34	NAN	
1,9	2,49	-0,015	-0,015	2,49	NAN	
2	2,64	-0,02	-0,02	2,64	NAN	
2,203	2,94	-0,01	-0,01	2,94	NAN	
2,215	2,955	-0,02	-0,02	2,955	NAN	
2,3	3,075	-0,02	-0,02	3,075	NAN	
2,4	3,225	-0,02	-0,02	3,225	NAN	
2,5	3,375	-0,015	-0,015	3,375	NAN	
2,6	3,525	-0,015	-0,015	3,525	NAN	
2,7	3,66	-0,015	-0,015	3,66	NAN	
2,8	3,81	-0,02	-0,02	3,81	NAN	
2,9	3,96	-0,015	-0,015	3,96	NAN	
3	4,095	-0,015	-0,015	4,095	NAN	
3,203	4,365	-0,005	-0,005	4,365	NAN	
3,215	4,395	-0,01	-0,01	4,395	NAN	
3,3	4,515	-0,005	-0,005	4,515	NAN	
3,4	4,665	-0,015	-0,015	4,665	NAN	
3,5	4,8	-0,005	-0,005	4,8	NAN	
3,6	4,935	-0,005	-0,005	4,935	NAN	
3,7	5,07	-0,005	-0,005	5,07	NAN	
3,8	5,205	0	0	5,205	NAN	
3,9	5,34	0	0	5,34	NAN	
4	5,475	0,005	0,005	5,475	NAN	
4,203	5,745	0,025	0,025	5,745	NAN	
4,214	5,775	0,01	0,01	5,775	NAN	
4,3	5,865	0,01	0,01	5,865	NAN	
4,4	6,015	0,015	0,015	6,015	NAN	
4,5	6,135	0,02	0,02	6,135	NAN	
4,6	6,27	0,015	0,015	6,27	NAN	
4,7	6,405	0,02	0,02	6,405	NAN	
4,8	6,54	0,015	0,015	6,54	NAN	
4,9	6,66	0,01	0,01	6,66	NAN	
5	6,78	0,01	0,01	6,78	NAN	
5,219	7,065	0,015	0,015	7,065	NAN	
5,229	7,065	0,01	0,01	7,065	NAN	
5,3	7,155	0,01	0,01	7,155	NAN	
5,4	7,29	0,01	0,01	7,29	NAN	
5,5	7,425	0,005	0,005	7,425	NAN	
5,6	7,545	0	0	7,545	NAN	
5,7	7,665	0	0	7,665	NAN	
5,8	7,8	0,005	0,005	7,8	NAN	
5,9	7,905	0,01	0,01	7,905	NAN	
6	8,04	0,01	0,01	8,04	NAN	
6,219	8,31	0,015	0,015	8,31	NAN	
6,229	8,31	0,015	0,015	8,31	NAN	
6,3	8,4	0,015	0,015	8,4	NAN	
6,4	8,52	0,015	0,015	8,52	NAN	
6,5	8,64	0,02	0,02	8,64	NAN	
6,6	8,76	0,025	0,025	8,76	NAN	
6,7	8,88	0,03	0,03	8,88	NAN	
6,8	9	0,035	0,035	9	NAN	
6,9	9,105	0,035	0,035	9,105	NAN	
7	9,225	0,05	0,05	9,225	NAN	
7,234	9,51	0,06	0,06	9,51	NAN	
7,245	9,51	0,065	0,065	9,51	NAN	
7,3	9,57	0,065	0,065	9,57	NAN	
7,4	9,675	0,065	0,065	9,675	NAN	
7,5	9,795	0,075	0,075	9,795	NAN	
7,6	9,915	0,09	0,09	9,915	NAN	
7,7	10,035	0,095	0,095	10,035	NAN	
7,8	10,14	0,105	0,105	10,14	NAN	
7,9	10,245	0,115	0,115	10,245	NAN	
8	10,365	0,125	0,125	10,365	NAN	
8,234	10,605	0,155	0,155	10,605	NAN	
8,245	10,62	0,16	0,16	10,62	NAN	
8,3	10,68	0,165	0,165	10,68	NAN	
8,4	10,8	0,175	0,175	10,8	NAN	
8,5	10,905	0,18	0,18	10,905	NAN	
8,6	11,01	0,19	0,19	11,01	NAN	
8,7	11,115	0,185	0,185	11,115	NAN	
8,8	11,235	0,185	0,185	11,235	NAN	
8,9	11,325	0,175	0,175	11,325	NAN	
9	11,43	0,165	0,165	11,43	NAN	
9,234	11,67	0,14	0,14	11,67	NAN	
9,245	11,685	0,14	0,14	11,685	NAN	
9,3	11,745	0,125	0,125	11,745	NAN	
9,4	11,85	0,12	0,12	11,85	NAN	
9,5	11,955	0,11	0,11	11,955	NAN	
9,6	12,045	0,1	0,1	12,045	NAN	
9,7	12,165	0,09	0,09	12,165	NAN	
9,8	12,255	0,08	0,08	12,255	NAN	
9,9	12,36	0,075	0,075	12,36	NAN	
10	12,465	0,08	0,08	12,465	NAN	
10,234	12,69	0,075	0,075	12,69	NAN	
10,245	12,705	0,08	0,08	12,705	NAN	
10,3	12,765	0,075	0,075	12,765	NAN	
10,4	12,855	0,075	0,075	12,855	NAN	
10,5	12,945	0,075	0,075	12,945	NAN	
