MIN=0	0	-10	-0,5	0	0	
MAX=40	30	10	5	27	5	
SCALE=10	10	5	1	10	1	
DEC=1	2	2	1	1	3	
DEF="Tiempo" t / s	"Tensión" U_A1 / V	"Tensión" U_B1 / V	"Intensidad" I / u.a.	"Voltaje acelerador" Vac / V	"Frecuencia" f / Hz	
0	0,315	-0,005	-0,005	0,315	NAN	
0,1	0,315	-0,01	-0,01	0,315	NAN	
0,2	0,315	-0,01	-0,01	0,315	NAN	
0,3	0,315	-0,005	-0,005	0,315	NAN	
0,4	0,315	-0,005	-0,005	0,315	NAN	
0,5	0,375	-0,01	-0,01	0,375	NAN	
0,6	0,555	-0,01	-0,01	0,555	NAN	
0,7	0,705	-0,01	-0,01	0,705	NAN	
0,891	1,005	-0,015	-0,015	1,005	NAN	
0,902	1,035	-0,005	-0,005	1,035	NAN	
1	1,185	-0,005	-0,005	1,185	NAN	
1,1	1,335	0	0	1,335	NAN	
1,2	1,5	-0,005	-0,005	1,5	NAN	
1,3	1,665	-0,005	-0,005	1,665	NAN	
1,4	1,815	-0,005	-0,005	1,815	NAN	
1,5	1,965	-0,005	-0,005	1,965	NAN	
1,6	2,115	-0,005	-0,005	2,115	NAN	
1,7	2,265	0	0	2,265	NAN	
1,906	2,595	-0,015	-0,015	2,595	NAN	
1,918	2,61	0	0	2,61	NAN	
2	2,715	-0,005	-0,005	2,715	NAN	
2,1	2,865	0	0	2,865	NAN	
2,2	3,015	-0,005	-0,005	3,015	NAN	
2,3	3,165	0	0	3,165	NAN	
2,4	3,3	0	0	3,3	NAN	
2,5	3,45	0	0	3,45	NAN	
2,6	3,6	-0,005	-0,005	3,6	NAN	
2,7	3,75	0	0	3,75	NAN	
2,922	4,05	-0,005	-0,005	4,05	NAN	
2,933	4,065	0	0	4,065	NAN	
3	4,17	-0,005	-0,005	4,17	NAN	
3,1	4,305	0	0	4,305	NAN	
3,2	4,455	0,005	0,005	4,455	NAN	
3,3	4,59	0	0	4,59	NAN	
3,4	4,725	0,005	0,005	4,725	NAN	
3,5	4,86	0,005	0,005	4,86	NAN	
3,6	5,01	0,005	0,005	5,01	NAN	
3,7	5,145	0,01	0,01	5,145	NAN	
3,922	5,445	0,01	0,01	5,445	NAN	
3,932	5,46	0,015	0,015	5,46	NAN	
4	5,55	0,015	0,015	5,55	NAN	
4,1	5,685	0,015	0,015	5,685	NAN	
4,2	5,82	0,02	0,02	5,82	NAN	
4,3	5,955	0,025	0,025	5,955	NAN	
4,4	6,075	0,025	0,025	6,075	NAN	
4,5	6,21	0,025	0,025	6,21	NAN	
4,6	6,345	0,025	0,025	6,345	NAN	
4,7	6,465	0,025	0,025	6,465	NAN	
4,922	6,765	0,02	0,02	6,765	NAN	
4,932	6,78	0,025	0,025	6,78	NAN	
5	6,855	0,025	0,025	6,855	NAN	
5,1	6,99	0,025	0,025	6,99	NAN	
5,2	7,125	0,02	0,02	7,125	NAN	
5,3	7,245	0,015	0,015	7,245	NAN	
5,4	7,365	0,015	0,015	7,365	NAN	
5,5	7,485	0,015	0,015	7,485	NAN	
5,6	7,62	0,015	0,015	7,62	NAN	
5,7	7,755	0,015	0,015	7,755	NAN	
5,922	8,025	0,015	0,015	8,025	NAN	
5,932	8,04	0,02	0,02	8,04	NAN	
6	8,13	0,025	0,025	8,13	NAN	
6,1	8,235	0,025	0,025	8,235	NAN	
6,2	8,355	0,025	0,025	8,355	NAN	
6,3	8,475	0,035	0,035	8,475	NAN	
6,4	8,595	0,03	0,03	8,595	NAN	
6,5	8,715	0,04	0,04	8,715	NAN	
6,6	8,835	0,035	0,035	8,835	NAN	
6,7	8,955	0,04	0,04	8,955	NAN	
