MIN=0	0	-10	-0,5	0	0	
MAX=40	30	10	5	27	5	
SCALE=10	10	5	1	10	1	
DEC=1	2	2	1	1	3	
DEF="Tiempo" t / s	"Tensión" U_A1 / V	"Tensión" U_B1 / V	"Intensidad" I / u.a.	"Voltaje acelerador" Vac / V	"Frecuencia" f / Hz	
0	0,315	-0,01	-0,01	0,315	NAN	
0,101	0,315	-0,01	-0,01	0,315	NAN	
0,2	0,315	-0,02	-0,02	0,315	NAN	
0,301	0,315	-0,015	-0,015	0,315	NAN	
0,4	0,315	-0,01	-0,01	0,315	NAN	
0,5	0,36	-0,015	-0,015	0,36	NAN	
0,6	0,51	-0,015	-0,015	0,51	NAN	
0,7	0,675	-0,01	-0,01	0,675	NAN	
0,8	0,825	-0,005	-0,005	0,825	NAN	
0,9	0,99	-0,015	-0,015	0,99	NAN	
1	1,155	-0,005	-0,005	1,155	NAN	
1,1	1,305	-0,005	-0,005	1,305	NAN	
1,2	1,47	-0,01	-0,01	1,47	NAN	
1,3	1,62	-0,005	-0,005	1,62	NAN	
1,4	1,785	-0,005	-0,005	1,785	NAN	
1,5	1,935	-0,005	-0,005	1,935	NAN	
1,6	2,085	0	0	2,085	NAN	
1,7	2,235	-0,005	-0,005	2,235	NAN	
1,8	2,385	-0,01	-0,01	2,385	NAN	
1,9	2,535	-0,005	-0,005	2,535	NAN	
2	2,685	-0,01	-0,01	2,685	NAN	
2,1	2,835	0	0	2,835	NAN	
2,2	2,97	0	0	2,97	NAN	
2,3	3,135	-0,005	-0,005	3,135	NAN	
2,4	3,27	0	0	3,27	NAN	
2,5	3,42	0	0	3,42	NAN	
2,6	3,57	-0,005	-0,005	3,57	NAN	
2,7	3,705	-0,005	-0,005	3,705	NAN	
2,8	3,84	-0,005	-0,005	3,84	NAN	
2,9	3,99	-0,005	-0,005	3,99	NAN	
3	4,14	0	0	4,14	NAN	
3,1	4,275	0	0	4,275	NAN	
3,2	4,41	0,005	0,005	4,41	NAN	
3,3	4,545	0	0	4,545	NAN	
3,4	4,695	0,005	0,005	4,695	NAN	
3,5	4,83	0,005	0,005	4,83	NAN	
3,6	4,965	0,01	0,01	4,965	NAN	
3,7	5,1	0,01	0,01	5,1	NAN	
3,8	5,235	0,015	0,015	5,235	NAN	
3,9	5,385	0,015	0,015	5,385	NAN	
4	5,52	0,015	0,015	5,52	NAN	
4,1	5,655	0,02	0,02	5,655	NAN	
4,2	5,79	0,025	0,025	5,79	NAN	
4,3	5,925	0,02	0,02	5,925	NAN	
4,4	6,045	0,025	0,025	6,045	NAN	
4,5	6,18	0,025	0,025	6,18	NAN	
4,6	6,315	0,025	0,025	6,315	NAN	
4,7	6,435	0,03	0,03	6,435	NAN	
4,8	6,57	0,025	0,025	6,57	NAN	
4,9	6,69	0,025	0,025	6,69	NAN	
5	6,825	0,025	0,025	6,825	NAN	
5,1	6,945	0,02	0,02	6,945	NAN	
5,2	7,08	0,02	0,02	7,08	NAN	
5,3	7,215	0,02	0,02	7,215	NAN	
5,4	7,335	0,02	0,02	7,335	NAN	
5,5	7,455	0,015	0,015	7,455	NAN	
5,6	7,575	0,02	0,02	7,575	NAN	
5,7	7,695	0,02	0,02	7,695	NAN	
5,8	7,83	0,015	0,015	7,83	NAN	
5,9	7,95	0,02	0,02	7,95	NAN	
6	8,085	0,025	0,025	8,085	NAN	
6,1	8,19	0,025	0,025	8,19	NAN	
6,2	8,325	0,025	0,025	8,325	NAN	
6,3	8,445	0,025	0,025	8,445	NAN	
6,4	8,565	0,03	0,03	8,565	NAN	
6,5	8,685	0,03	0,03	8,685	NAN	
6,6	8,79	0,03	0,03	8,79	NAN	
