MIN=0	0	-10	-0,5	0	0	
MAX=10	30	10	5	27	5	
SCALE=5	10	5	1	10	1	
DEC=1	2	2	1	1	3	
DEF="Tiempo" t / s	"Tensión" U_A1 / V	"Tensión" U_B1 / V	"Intensidad" I / u.a.	"Voltaje acelerador" Vac / V	"Frecuencia" f / Hz	
0	0,24	-0,02	-0,02	0,24	NAN	
0,1	0,24	-0,025	-0,025	0,24	NAN	
0,2	0,24	-0,025	-0,025	0,24	NAN	
0,3	0,24	-0,025	-0,025	0,24	NAN	
0,4	0,27	-0,02	-0,02	0,27	NAN	
0,501	0,405	-0,025	-0,025	0,405	NAN	
0,6	0,525	-0,015	-0,015	0,525	NAN	
0,828	0,825	-0,01	-0,01	0,825	NAN	
0,84	0,825	-0,005	-0,005	0,825	NAN	
0,9	0,9	-0,015	-0,015	0,9	NAN	
1,001	1,035	-0,02	-0,02	1,035	NAN	
1,1	1,155	-0,02	-0,02	1,155	NAN	
1,2	1,275	-0,025	-0,025	1,275	NAN	
1,301	1,395	-0,02	-0,02	1,395	NAN	
1,4	1,515	-0,02	-0,02	1,515	NAN	
1,501	1,635	-0,02	-0,02	1,635	NAN	
1,6	1,77	-0,015	-0,015	1,77	NAN	
1,828	2,025	-0,005	-0,005	2,025	NAN	
1,839	2,04	-0,005	-0,005	2,04	NAN	
1,9	2,115	-0,015	-0,015	2,115	NAN	
2,001	2,235	-0,015	-0,015	2,235	NAN	
2,101	2,355	-0,015	-0,015	2,355	NAN	
2,2	2,475	-0,02	-0,02	2,475	NAN	
2,301	2,595	-0,015	-0,015	2,595	NAN	
2,4	2,715	-0,015	-0,015	2,715	NAN	
2,501	2,82	-0,01	-0,01	2,82	NAN	
2,601	2,925	-0,015	-0,015	2,925	NAN	
2,828	3,195	-0,01	-0,01	3,195	NAN	
2,839	3,21	0,005	0,005	3,21	NAN	
2,901	3,27	-0,015	-0,015	3,27	NAN	
3,001	3,39	-0,01	-0,01	3,39	NAN	
3,101	3,495	-0,005	-0,005	3,495	NAN	
3,2	3,6	-0,005	-0,005	3,6	NAN	
3,301	3,72	0	0	3,72	NAN	
3,401	3,825	-0,005	-0,005	3,825	NAN	
3,501	3,945	-0,005	-0,005	3,945	NAN	
3,601	4,05	0	0	4,05	NAN	
3,828	4,29	0,015	0,015	4,29	NAN	
3,838	4,305	0,025	0,025	4,305	NAN	
3,901	4,365	0,01	0,01	4,365	NAN	
4,001	4,47	0,025	0,025	4,47	NAN	
4,101	4,575	0,025	0,025	4,575	NAN	
4,201	4,68	0,03	0,03	4,68	NAN	
4,301	4,785	0,04	0,04	4,785	NAN	
4,401	4,89	0,04	0,04	4,89	NAN	
4,501	4,995	0,05	0,05	4,995	NAN	
4,601	5,1	0,055	0,055	5,1	NAN	
4,828	5,34	0,075	0,075	5,34	NAN	
4,838	5,34	0,095	0,095	5,34	NAN	
4,901	5,415	0,085	0,085	5,415	NAN	
5,001	5,52	0,095	0,095	5,52	NAN	
5,101	5,625	0,11	0,11	5,625	NAN	
5,201	5,715	0,125	0,125	5,715	NAN	
5,301	5,805	0,135	0,135	5,805	NAN	
5,401	5,91	0,15	0,15	5,91	NAN	
5,501	6	0,155	0,155	6	NAN	
5,601	6,105	0,16	0,16	6,105	NAN	
5,827	6,33	0,145	0,145	6,33	NAN	
5,838	6,345	0,16	0,16	6,345	NAN	
5,901	6,39	0,145	0,145	6,39	NAN	
6,001	6,495	0,13	0,13	6,495	NAN	
6,101	6,6	0,13	0,13	6,6	NAN	
6,201	6,69	0,12	0,12	6,69	NAN	
6,301	6,78	0,11	0,11	6,78	NAN	
6,401	6,87	0,1	0,1	6,87	NAN	
6,501	6,975	0,1	0,1	6,975	NAN	
6,601	7,065	0,09	0,09	7,065	NAN	
6,827	7,275	0,08	0,08	7,275	NAN	
6,838	7,29	0,09	0,09	7,29	NAN	
6,901	7,35	0,08	0,08	7,35	NAN	
7,001	7,425	0,085	0,085	7,425	NAN	
7,101	7,53	0,085	0,085	7,53	NAN	
7,201	7,62	0,08	0,08	7,62	NAN	
7,301	7,71	0,085	0,085	7,71	NAN	
7,401	7,8	0,095	0,095	7,8	NAN	
7,501	7,89	0,105	0,105	7,89	NAN	
7,601	7,98	0,11	0,11	7,98	NAN	
7,827	8,175	0,12	0,12	8,175	NAN	
7,837	8,19	0,13	0,13	8,19	NAN	
7,901	8,235	0,135	0,135	8,235	NAN	
8,001	8,325	0,145	0,145	8,325	NAN	
8,101	8,415	0,155	0,155	8,415	NAN	
8,201	8,505	0,17	0,17	8,505	NAN	
8,301	8,595	0,18	0,18	8,595	NAN	
8,401	8,685	0,2	0,2	8,685	NAN	
8,501	8,775	0,215	0,215	8,775	NAN	
8,601	8,85	0,225	0,225	8,85	NAN	
8,827	9,045	0,24	0,24	9,045	NAN	
8,837	9,045	0,27	0,27	9,045	NAN	
0	0,6	-0,015	-0,015	0,6	NAN	
0,113	0,465	-0,015	-0,015	0,465	NAN	
0,207	0,39	-0,03	-0,03	0,39	NAN	
0,3	0,345	-0,01	-0,01	0,345	NAN	
